forecast_date,target,location,wis_tf,wis_arima,skill_score
2024-12-15,ARI incidence,BE,184.656993341861,219.068222696199,0.157079967741646
2024-12-15,ARI incidence,CZ,285.936020069952,152.000238861368,-0.881155070622885
2024-12-15,ARI incidence,ES,47.1169719165305,61.7307843228658,0.236734597926082
2024-12-15,ARI incidence,FR,122.137229060297,104.702793025717,-0.166513571708616
2024-12-15,ILI incidence,BE,74.0599493905773,171.865211511949,0.56908120765657
2024-12-15,ILI incidence,CZ,3.97125303843747,4.96919198551078,0.200825194515147
2024-12-15,ILI incidence,ES,8.25239057934803,16.8385422609212,0.509910629348234
2024-12-15,ILI incidence,FR,43.2484708164049,97.2356406372027,0.555219973530386
2024-12-15,ILI incidence,IT,165.733399021315,153.089688991636,-0.0825902130506631
2024-12-15,ILI incidence,PL,62.4494252677586,55.3930782956781,-0.127386799744454
2024-12-22,ARI incidence,BE,100.67415222168,104.386425352828,0.0355627958194823
2024-12-22,ARI incidence,CZ,334.130988888948,217.42941311932,-0.536733159030259
2024-12-22,ARI incidence,ES,51.3296785935112,73.4377662802525,0.301045208842173
2024-12-22,ARI incidence,FR,91.9015172278363,26.19874180095,-2.50785995472897
2024-12-22,ILI incidence,BE,92.6478293957918,319.390650584328,0.70992316391763
2024-12-22,ILI incidence,CZ,8.90832898782647,7.48348825472692,-0.19039793804708
2024-12-22,ILI incidence,ES,9.56488038685011,33.5769010945308,0.715135105532175
2024-12-22,ILI incidence,FR,58.0210410159567,28.2449111373865,-1.05421219892446
2024-12-22,ILI incidence,IT,163.352420203167,397.823410896533,0.589384596962161
2024-12-22,ILI incidence,PL,84.0350646839971,88.5379553962708,0.0508583092089725
2024-12-29,ARI incidence,BE,85.3740073626974,192.613575475787,0.556760175642813
2024-12-29,ARI incidence,CZ,286.216474274345,326.359254374287,0.123001813375587
2024-12-29,ARI incidence,ES,58.0355994680653,210.016401515257,0.723661585241241
2024-12-29,ARI incidence,FR,98.0338053993557,102.480192823427,0.0433877737889586
2024-12-29,ILI incidence,BE,165.207851330301,329.091041330028,0.497987393814763
2024-12-29,ILI incidence,CZ,25.7340652056881,23.7157787759483,-0.0851031057764218
2024-12-29,ILI incidence,ES,10.7887762704103,72.4023047619567,0.850988496762893
2024-12-29,ILI incidence,FR,94.5362666602757,118.285781202778,0.200780806458791
2024-12-29,ILI incidence,IT,85.5354137453826,678.948243157569,0.874017769973769
2024-12-29,ILI incidence,PL,61.3097644026383,104.03795626813,0.410698108634229
2025-01-05,ARI incidence,BE,128.450339813232,239.900829027938,0.464569004060117
2025-01-05,ARI incidence,CZ,440.642958092068,625.473523469635,0.295505018905153
2025-01-05,ARI incidence,ES,56.389609219095,106.169299203371,0.468870853983141
2025-01-05,ARI incidence,FR,112.995681046196,78.210803985781,-0.444757952708665
2025-01-05,ILI incidence,BE,351.367348036559,475.952933964293,0.261760306612757
2025-01-05,ILI incidence,CZ,59.4572376065669,45.7676009773087,-0.299111955552258
2025-01-05,ILI incidence,ES,11.2739877792027,34.4540133658493,0.672781581074749
2025-01-05,ILI incidence,FR,149.184304385807,87.3162393354754,-0.708551645389012
2025-01-05,ILI incidence,IT,125.348336918043,220.939430063026,0.432657462353887
2025-01-05,ILI incidence,PL,52.4367180102805,155.8058720959,0.663448384166129
2025-01-12,ARI incidence,BE,56.3228317658798,161.6344412673,0.651541890922015
2025-01-12,ARI incidence,CZ,269.335431637971,140.101014372557,-0.922437413063651
2025-01-12,ARI incidence,ES,51.8103140159275,67.2676928998985,0.229789044600849
2025-01-12,ARI incidence,FR,109.125001661881,88.1563263570248,-0.237857861952359
2025-01-12,ILI incidence,BE,347.036579501111,241.389725233573,-0.437660940892625
2025-01-12,ILI incidence,CZ,66.1470729357263,53.5848042722009,-0.234437147511288
2025-01-12,ILI incidence,ES,11.2934057169375,41.724393949152,0.729333259323062
2025-01-12,ILI incidence,FR,149.49991596139,76.525586436814,-0.953593862163079
2025-01-12,ILI incidence,IT,172.64556587551,39.3285001552978,-3.38983345903805
2025-01-12,ILI incidence,PL,54.9325123629363,84.9513925505812,0.353365369140609
2025-01-19,ARI incidence,BE,60.6777919669773,67.0597003143945,0.0951675643866146
2025-01-19,ARI incidence,CZ,408.733616704526,176.478497394479,-1.31605335912903
2025-01-19,ARI incidence,ES,54.5368977322786,74.2974752887749,0.265965666796781
2025-01-19,ARI incidence,FR,115.053518930518,141.859828145242,0.188963356048045
2025-01-19,ILI incidence,BE,386.055951436914,204.113557924007,-0.891378286496012
2025-01-19,ILI incidence,CZ,55.5662991038613,73.0096587493379,0.238918520429803
2025-01-19,ILI incidence,ES,12.7472028483515,29.8813563903238,0.573406150582932
2025-01-19,ILI incidence,FR,165.022741424726,128.963671546848,-0.279606415088609
2025-01-19,ILI incidence,IT,284.833987148119,57.3899297537438,-3.96313531607936
2025-01-19,ILI incidence,PL,40.9681479313063,93.7623868026194,0.563064152605789
2025-01-26,ARI incidence,BE,52.7269154225225,103.27345057695,0.489443655383286
2025-01-26,ARI incidence,CZ,401.591500038479,103.399473042809,-2.8838834301623
2025-01-26,ARI incidence,ES,60.9017452140476,71.7539566544267,0.151241993422666
2025-01-26,ARI incidence,FR,70.4184684156335,84.7761040235912,0.169359464831769
2025-01-26,ILI incidence,BE,290.606329560487,270.716736248675,-0.0734701281768642
2025-01-26,ILI incidence,CZ,49.3009068779324,42.8994906471303,-0.149218933237621
2025-01-26,ILI incidence,ES,8.75005601841471,33.6872137186264,0.740255870031287
2025-01-26,ILI incidence,FR,91.816948379019,105.054499846128,0.12600651553715
2025-01-26,ILI incidence,IT,253.28740675553,188.083074006356,-0.34667836589576
2025-01-26,ILI incidence,PL,91.9472221755981,26.360817181281,-2.48802624528995
2025-02-02,ARI incidence,BE,80.1006249535602,104.435923657123,0.233016550736497
2025-02-02,ARI incidence,CZ,317.019907969599,50.9302259866109,-5.22459260347561
2025-02-02,ARI incidence,ES,83.2406599757982,50.2427578495964,-0.65676932434685
2025-02-02,ARI incidence,FR,57.1910492407757,37.0001073985975,-0.545699546886816
2025-02-02,ILI incidence,BE,127.779487254931,320.600824059287,0.601437433512956
2025-02-02,ILI incidence,CZ,38.0857217262102,12.5744373636278,-2.02882114124446
2025-02-02,ILI incidence,ES,6.19287636362988,5.24597869781468,-0.18049971613679
2025-02-02,ILI incidence,FR,33.3058940812816,38.1373935849683,0.126686672829972
2025-02-02,ILI incidence,IT,171.552263581649,31.5497255599028,-4.43751999540935
2025-02-02,ILI incidence,PL,82.7312184541122,30.0712197908123,-1.75117600914178
2025-02-09,ARI incidence,BE,52.3971013541844,115.181822453101,0.545092270305769
2025-02-09,ARI incidence,CZ,227.189018843278,65.1863774297163,-2.48522233941028
2025-02-09,ARI incidence,ES,70.6245425249183,54.818681807706,-0.28832982107553
2025-02-09,ARI incidence,FR,56.9989554023743,21.210020047309,-1.68735980801705
2025-02-09,ILI incidence,BE,101.80685370155,148.650019018342,0.315123843415128
2025-02-09,ILI incidence,CZ,20.0191139092653,22.7845482829311,0.121373236779836
2025-02-09,ILI incidence,ES,5.27373351252597,6.57386966722311,0.197773339069914
2025-02-09,ILI incidence,FR,24.4523271228956,19.3184427545255,-0.265750424793813
2025-02-09,ILI incidence,IT,81.5796711929985,53.4923462350679,-0.525071845502963
2025-02-09,ILI incidence,PL,53.3820734621131,50.2699140747992,-0.0619089856147992
2025-02-16,ARI incidence,BE,131.517123479429,138.130685746133,0.0478790229048714
2025-02-16,ARI incidence,CZ,106.372512061078,74.254218213174,-0.432545040817698
2025-02-16,ARI incidence,ES,78.4117875339674,68.0908396347844,-0.151576158475076
2025-02-16,ARI incidence,FR,97.7183310815562,27.5856924666209,-2.54235555985397
2025-02-16,ILI incidence,BE,78.1900385690772,171.555905912455,0.544229980581504
2025-02-16,ILI incidence,CZ,25.3736029707867,31.843115795438,0.20316833522862
2025-02-16,ILI incidence,ES,4.1811870927396,17.7610647494816,0.764586912343662
2025-02-16,ILI incidence,FR,35.8655075255684,19.5417129422074,-0.835330793755744
2025-02-16,ILI incidence,IT,43.0645001088018,54.7582585766696,0.213552416965466
2025-02-16,ILI incidence,PL,41.7700311710524,33.3307384590734,-0.253198491906848
2025-02-23,ARI incidence,BE,75.8543240389617,146.251824752811,0.481344426524813
2025-02-23,ARI incidence,CZ,81.260465976881,106.932705253236,0.240078460706278
2025-02-23,ARI incidence,ES,72.6700856416122,71.2182763810157,-0.0203853467729176
2025-02-23,ARI incidence,FR,45.5738998587235,14.1196540865841,-2.22769237682854
2025-02-23,ILI incidence,BE,30.787073135376,124.763593519441,0.753236723415003
2025-02-23,ILI incidence,CZ,28.7703925143118,8.71487207126283,-2.30129831844368
2025-02-23,ILI incidence,ES,3.23450627886731,5.71444500013206,0.433977179097435
2025-02-23,ILI incidence,FR,17.8300943528051,11.6352449805775,-0.532421051947644
2025-02-23,ILI incidence,IT,51.3570549210258,41.1027609728599,-0.249479443848963
2025-02-23,ILI incidence,PL,34.1103702876879,26.6491917105057,-0.27997766905031
2025-03-02,ARI incidence,BE,130.941038552989,115.492640541633,-0.133760886744881
2025-03-02,ARI incidence,CZ,67.2235814567234,101.632327628875,0.338561036384011
