forecast_date,target,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median
2024-12-15,ARI incidence,159.96180359716,92.5258874644404,27.9538055585778,39.4821105741418,0.089375,0.3125,0.6875,232.516109085083
2024-12-15,ILI incidence,59.6191480189735,21.8147473335266,5.75191352194634,32.0524871635005,0.125,0.5,1,92.4652120908102
2024-12-22,ARI incidence,144.509084232994,75.009195410687,32.7775999483855,36.7222888739213,-0.078125,0.3125,0.8125,207.98162651062
2024-12-22,ILI incidence,69.421594112265,21.819336291327,16.2426714309748,31.3595863899632,0.0458333333333334,0.458333333333333,0.833333333333333,112.415406576792
2024-12-29,ARI incidence,131.914971626116,1.30339023755944,98.8100853795591,31.8014960089974,-0.52375,0.375,0.75,203.417121505737
2024-12-29,ILI incidence,73.8520229357827,4.54278856429501,36.9961583261905,32.3130760452972,-0.261666666666667,0.625,0.791666666666667,105.59301199913
2025-01-05,ARI incidence,184.619647042648,0,151.444002217832,33.1756448248158,-0.74,0.1875,0.625,277.710991287231
2025-01-05,ILI incidence,124.844655456077,0.597575356303782,91.8112557411194,32.4358243586533,-0.55875,0.5,0.666666666666667,182.557323741913
2025-01-12,ARI incidence,121.648394770415,4.08987015433934,76.6335351861041,40.9249894299715,-0.31125,0.625,0.8125,177.786366653442
2025-01-12,ILI incidence,133.592508725602,1.45183431653009,101.234910481218,30.9057639278536,-0.603333333333333,0.416666666666667,0.625,199.860401980082
2025-01-19,ARI incidence,159.750456333575,4.91067693959112,112.511339137865,42.3284402561188,-0.315625,0.5,0.6875,236.173308563232
2025-01-19,ILI incidence,157.532388315546,0.0102873429008153,131.265611434328,26.2564895383171,-0.7525,0.25,0.5,234.06251783371
2025-01-26,ARI incidence,146.409657272671,6.11569583726966,98.1595416193423,42.1344198160586,-0.2125,0.5,0.875,216.702835464478
2025-01-26,ILI incidence,130.951478294497,0,106.018787265169,24.9326910293275,-0.776666666666667,0.166666666666667,0.708333333333333,211.950425656637
2025-02-02,ARI incidence,134.388060534933,23.7944912620213,67.0866161346436,43.5069531382685,0.10625,0.375,1,221.584535217285
2025-02-02,ILI incidence,76.6079102436356,0.146535082830899,49.5904316321663,26.8709435286384,-0.5,0.416666666666667,1,129.157668081919
2025-02-09,ARI incidence,101.802404531189,23.7257973048998,44.5877924048382,33.4888148214506,0.135625,0.4375,0.875,159.408538818359
2025-02-09,ILI incidence,47.7522954835581,1.38304931530054,26.3905490847601,19.9786970834974,-0.433333333333333,0.375,0.958333333333333,84.1753998756409
2025-02-16,ARI incidence,103.504938539007,52.3272567085598,11.8879628057065,39.2897190247411,0.41125,0.25,0.8125,170.687509155273
2025-02-16,ILI incidence,38.0741445730044,10.7426451061083,0.388676242551942,26.9428232243441,0.360416666666667,0.666666666666667,0.958333333333333,46.552765305837
2025-02-23,ARI incidence,68.8396938790446,30.6631317470385,3.77337659752887,34.4031855344772,0.48125,0.375,1,109.169351577759
2025-02-23,ILI incidence,27.6815819150123,7.36022643835648,1.20494692429252,19.1164085523633,0.3375,0.666666666666667,1,37.152228307724
2025-03-02,ARI incidence,71.1763572779946,37.0024770322053,0,34.1738802457892,0.625,0.3125,0.875,101.68003578186
2025-03-02,ILI incidence,47.3800477905204,27.2733992507492,0,20.1066485397712,0.683333333333333,0.291666666666667,0.916666666666667,80.224317296346
