forecast_date,target,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median
2024-12-15,ARI incidence,172.218708147381,133.840046592381,12.3830719989279,25.9955895560721,0.3475,0.3125,0.5,226.074506378174
2024-12-15,ILI incidence,77.925981070754,36.801900120749,26.8386361674986,14.2854447825064,0.0766666666666667,0.25,0.541666666666667,110.488791060448
2024-12-22,ARI incidence,162.844294245347,88.4246971130371,51.2672054207843,23.1523917115253,-0.058125,0.3125,0.5625,207.494913291931
2024-12-22,ILI incidence,93.8671216906154,14.517441671482,66.9391579973525,12.4105220217808,-0.165,0.208333333333333,0.5,123.544768730799
2024-12-29,ARI incidence,135.104832408325,5.59653380020805,107.638389562524,21.8699090455926,-0.594375,0.125,0.625,193.605254173279
2024-12-29,ILI incidence,122.365745090892,2.61171525595845,104.565014374774,15.189015460159,-0.6075,0.25,0.541666666666667,164.507343816757
2025-01-05,ARI incidence,126.475123460604,3.89088386867357,100.492945198391,22.0912943935394,-0.609375,0.25,0.5,170.889550018311
2025-01-05,ILI incidence,182.64253456462,0.32495971624402,169.543934392929,12.773640455447,-0.755416666666667,0.166666666666667,0.333333333333333,224.384385712942
2025-01-12,ARI incidence,132.1945098935,3.31796828560207,104.047431216033,24.8291103918656,-0.720625,0.125,0.5625,199.185411071777
2025-01-12,ILI incidence,155.016978300065,0.3504537941753,141.24446616622,13.4220583396702,-0.805416666666667,0.125,0.333333333333333,194.523870841662
2025-01-19,ARI incidence,177.74910723396,0,151.282114493329,26.4669927406311,-0.84125,0.125,0.375,237.664742660522
2025-01-19,ILI incidence,207.982462451861,0,195.181553142658,12.8009093092026,-0.972916666666667,0,0.0833333333333333,260.500566784541
2025-01-26,ARI incidence,181.563406304069,0.0135024360988449,157.865041948401,23.6848619195689,-0.739375,0.1875,0.625,231.582830047607
2025-01-26,ILI incidence,147.845139706299,0,133.704617066314,14.1405226399847,-0.937083333333333,0.0416666666666667,0.166666666666667,192.620798142751
2025-02-02,ARI incidence,97.0356201101386,0.954022133868674,71.2330918021824,24.8485061740875,-0.56125,0.25,0.875,153.46185760498
2025-02-02,ILI incidence,92.2389535980466,0.273876333927763,78.7066233455271,13.2584539185918,-0.799166666666667,0.166666666666667,0.291666666666667,130.791061083476
2025-02-09,ARI incidence,92.7580584420329,8.43843370520551,62.1215380295463,22.198086707281,-0.20625,0.3125,0.8125,141.021087265015
2025-02-09,ILI incidence,66.3119692088469,4.36441710651785,48.4678986290227,13.4796534733064,-0.532916666666667,0.25,0.541666666666667,101.884597086906
2025-02-16,ARI incidence,74.7396179485321,18.9691520359205,33.6248889093814,22.1455770032302,0.184375,0.25,0.75,121.816098403931
2025-02-16,ILI incidence,35.8943828612307,14.8978408260622,11.0788831835208,9.91765885164772,-0.195833333333333,0.25,0.708333333333333,56.0822021802267
2025-02-23,ARI incidence,95.9817303800583,53.217031196926,21.7207821721616,21.0439170109707,0.40625,0.1875,0.6875,151.47811126709
2025-02-23,ILI incidence,35.6426112144926,22.4053092901258,1.85431245375371,11.3829894706132,0.375,0.166666666666667,0.583333333333333,52.2205999533335
2025-03-02,ARI incidence,96.1046445071179,73.2705963134766,3.36551533574643,19.4685328578949,0.41125,0.3125,0.625,139.948579788208
2025-03-02,ILI incidence,31.4384433857427,20.0386857627095,1.10460894280586,10.2951486802274,0.300833333333333,0.375,0.666666666666667,51.1485923290253
2025-03-09,ARI incidence,72.1957555947097,36.318137044492,14.8343247289243,21.0432938212934,0.306875,0.25,0.75,113.501409339905
2025-03-09,ILI incidence,14.6248026110297,5.85758710805921,1.31518722858982,7.45202827438064,-0.0583333333333333,0.458333333333333,0.916666666666667,20.168857884407
2025-03-16,ARI incidence,70.5684859814851,47.4201898160188,0.833854708464249,22.3144414570021,0.43,0.5625,0.625,92.788755607605
