horizon,target,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median
1,ARI incidence,63.4024407523242,23.7949926549589,24.2462701926394,15.3611779047259,0.0273762376237624,0.316831683168317,0.782178217821782,93.4590544596757
1,ILI incidence,30.094586136647,4.58744362336688,19.0225316336818,6.48461087959838,-0.157537878787879,0.397727272727273,0.806818181818182,43.9763937068708
2,ARI incidence,84.8644415973999,29.653556379268,39.0882562006176,16.1226290175143,0.00236453201970443,0.266009852216749,0.679802955665025,118.73197138744
2,ILI incidence,40.6309925524302,6.27622742898052,27.4134010757803,6.94136404766938,-0.174714828897338,0.380228136882129,0.699619771863118,55.4612251169328
3,ARI incidence,95.198136734373,28.355998699907,50.8089328463425,16.0332051881236,-0.00240196078431373,0.294117647058824,0.627450980392157,128.449687232223
3,ILI incidence,50.0945393864793,8.45651435823564,34.9821103775023,6.65591465074142,-0.190687022900763,0.305343511450382,0.648854961832061,67.2098745791967
4,ARI incidence,102.79359733961,28.0895609698493,57.5859931186907,17.11804325107,0.0108292682926829,0.278048780487805,0.634146341463415,142.47527570771
4,ILI incidence,56.6301786716124,10.3736909305058,38.7033758268344,7.55311191427222,-0.194789272030651,0.28735632183908,0.659003831417625,76.6712767715198
