forecast_date,target,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median
2024-12-15,ARI incidence,125.211557592961,49.235213568511,38.2044197082805,37.7719243161694,-0.03875,0.375,0.5625,187.361263299576
2024-12-15,ILI incidence,91.4436265439259,4.24473423369813,71.1826026578856,16.0162896523422,-0.435833333333333,0.291666666666667,0.625,129.149117245856
2024-12-22,ARI incidence,91.0809580543393,47.6255104823364,4.97700198100928,38.4784455909936,0.075,0.6875,0.875,114.582632692602
2024-12-22,ILI incidence,172.836073253425,8.21747266108174,147.589774699115,17.0288258932282,-0.48,0.125,0.541666666666667,223.534490558932
2024-12-29,ARI incidence,141.023506618058,2.17410832964998,100.978053239356,37.8713450490518,-0.5725,0.3125,0.6875,217.811787366821
2024-12-29,ILI incidence,230.488910794487,0,215.278261178291,15.2106496161956,-0.856666666666667,0.166666666666667,0.333333333333333,277.082320824568
2025-01-05,ARI incidence,166.837561156609,2.07331190971183,126.857030383813,37.9072188630844,-0.54375,0.375,0.75,229.858503765546
2025-01-05,ILI incidence,153.307765202025,0,136.633124111944,16.674641090081,-0.944166666666667,0.0416666666666667,0.25,207.345755321645
2025-01-12,ARI incidence,53.905565625673,10.9027776027287,5.09034027293023,37.912447750014,0.1375,0.8125,1,75.3166821437832
2025-01-12,ILI incidence,104.428688071514,10.5878211598263,76.3990768122613,17.4417900994268,-0.345,0.125,0.416666666666667,141.104547374279
2025-01-19,ARI incidence,71.9064852013537,11.8883389576201,21.4973756888907,38.5207705548428,-0.03125,0.625,0.875,101.822878728439
2025-01-19,ILI incidence,103.909055490135,0,85.9992813696993,17.9097741204362,-0.912916666666667,0.0416666666666667,0.375,153.679724247456
2025-01-26,ARI incidence,73.5160983450526,30.8474163536104,3.86085444258525,38.8078275488569,0.419375,0.5625,0.75,110.326842509411
2025-01-26,ILI incidence,60.9947684881517,35.4297877842983,6.59227478577115,18.9727059180823,0.425416666666667,0.208333333333333,0.416666666666667,92.3445437195502
2025-02-02,ARI incidence,55.1639890995471,5.68542841410517,11.4507353243906,38.0278253610513,0.01875,0.6875,1,72.9886494012156
2025-02-02,ILI incidence,43.2183699350211,9.82096070406826,14.0853380431728,19.31207118778,0.03125,0.5,0.916666666666667,63.0911948763168
2025-02-09,ARI incidence,70.8628196128229,15.4517050560026,16.2804417518392,39.1306728049811,-0.0125,0.625,1,101.462416466724
2025-02-09,ILI incidence,49.8442430275809,0.869794105308361,30.2223852188014,18.7520637034711,-0.412916666666667,0.416666666666667,0.75,71.9931705072631
2025-02-16,ARI incidence,86.0108532979077,41.3203905604442,6.92550376097006,37.7649589764934,0.35625,0.4375,1,141.700601906415
2025-02-16,ILI incidence,60.1311107581912,41.5029373571649,0.0692669515493924,18.558906449477,0.7575,0.208333333333333,0.708333333333333,99.1311106488261
2025-02-23,ARI incidence,79.0556696559216,39.7539108153944,0.228344164067363,39.0734146764598,0.425,0.625,0.875,123.627377955279
